,Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance
97,196,titolo_descrizione_comune_famiglie_bambini,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98]",144,titolo_descrizione_bambini_biblioteca_comune,195,descrizione_titolo_violenza_comune_servizio,1.649596810226579
96,195,descrizione_titolo_violenza_comune_servizio,"[7, 11, 13, 14, 16, 17, 18, 19, 20, 21, 22, 24, 25, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98]",193,nido_asilo_pannolini_nati_benvenuto,194,descrizione_titolo_violenza_family_donne,1.5047163515875348
95,194,descrizione_titolo_violenza_family_donne,"[7, 11, 13, 17, 19, 20, 21, 22, 24, 25, 27, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 49, 50, 51, 53, 54, 56, 58, 59, 60, 61, 62, 63, 64, 65, 66, 68, 69, 70, 71, 72, 73, 75, 76, 77, 79, 80, 81, 82, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 98]",192,descrizione_titolo_violenza_donne_genere,171,pagina_facebook_sito_telegram_web,1.4066821846990607
94,193,nido_asilo_pannolini_nati_benvenuto,"[14, 16, 18, 28, 32, 48, 52, 55, 57, 67, 74, 78, 83, 84, 97]",187,asilo_nido_tagesmutter_servizio_convenzione,181,pannolini_nati_benvenuto_rifiuti_nuovi,1.3500728437474343
93,192,descrizione_titolo_violenza_donne_genere,"[7, 11, 13, 17, 19, 20, 21, 22, 24, 25, 27, 29, 30, 31, 33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 49, 50, 51, 53, 54, 56, 58, 59, 60, 61, 62, 63, 64, 65, 66, 68, 70, 71, 72, 73, 75, 76, 79, 80, 81, 82, 86, 87, 88, 89, 90, 91, 93, 94, 95, 96, 98]",186,persone_legna_anziani_intervento_19,191,violenza_descrizione_titolo_genere_donne,1.306625342782895
92,191,violenza_descrizione_titolo_genere_donne,"[7, 11, 13, 20, 21, 22, 24, 25, 29, 30, 31, 33, 34, 35, 36, 38, 40, 41, 42, 43, 45, 46, 47, 49, 50, 51, 53, 54, 58, 59, 60, 61, 62, 63, 64, 65, 66, 68, 70, 71, 72, 73, 76, 80, 82, 86, 87, 88, 89, 90, 93, 94, 95, 96, 98]",190,violenza_genere_donne_giornata_ambientale,189,parcheggi_family_rosa_uffici_descrizione,1.2633600893795234
91,190,violenza_genere_donne_giornata_ambientale,"[7, 13, 22, 24, 30, 31, 34, 35, 36, 38, 41, 61, 62, 71, 94]",159,violenza_genere_donne_prevenzione_sensibilizzazione,183,ambientale_ecologica_giornata_ambiente_emas,1.2320686257687956
90,189,parcheggi_family_rosa_uffici_descrizione,"[11, 20, 21, 25, 29, 33, 40, 42, 43, 45, 46, 47, 49, 50, 51, 53, 54, 58, 59, 60, 63, 64, 65, 66, 68, 70, 72, 73, 76, 80, 82, 86, 87, 88, 89, 90, 93, 95, 96, 98]",188,parcheggi_rosa_uffici_baby_apertura,149,family_audit_standard_marchio_certificazioni,1.2182085357273746
89,188,parcheggi_rosa_uffici_baby_apertura,"[11, 20, 25, 29, 40, 42, 43, 45, 46, 47, 49, 50, 51, 53, 54, 58, 59, 60, 63, 64, 66, 68, 70, 72, 73, 76, 80, 82, 86, 87, 88, 89, 90, 93, 95, 98]",180,sci_levico_ski_piscina_pass,185,parcheggi_rosa_uffici_baby_apertura,1.2068284198862318
88,187,asilo_nido_tagesmutter_servizio_convenzione,"[14, 32, 48, 55, 57, 78, 83]",176,asilo_nido_convenzione_conciliazione_servizio,99,tagesmutter_servizio_contributo_icef_nido,1.2058016522952744
87,186,persone_legna_anziani_intervento_19,"[17, 19, 27, 39, 44, 56, 75, 79, 81, 91]",182,persone_legna_anziani_intervento_19,106,ambulatorio_pediatrico_medico_medici_ambulatori,1.1922156394023373
86,185,parcheggi_rosa_uffici_baby_apertura,"[11, 20, 25, 29, 40, 42, 43, 45, 46, 49, 50, 51, 53, 54, 58, 59, 63, 64, 68, 70, 72, 73, 80, 82, 88, 90, 95, 98]",184,parcheggi_rosa_uffici_baby_apertura,153,studenti_meritevoli_stage_studio_borse,1.1811021158481012
85,184,parcheggi_rosa_uffici_baby_apertura,"[11, 20, 25, 29, 40, 42, 43, 45, 46, 49, 50, 51, 58, 59, 63, 64, 68, 70, 72, 73, 80, 82, 88, 95, 98]",179,parcheggi_rosa_uffici_baby_apertura,178,terza_universitа_laboratori_creativi_natale,1.1391481120002418
84,183,ambientale_ecologica_giornata_ambiente_emas,"[13, 22, 30, 31, 34, 35, 38, 41, 71, 94]",160,ambientale_ecologica_giornata_ambiente_alberi,166,emas_certificazione_videosorveglianza_ambientale_ambientali,1.1252957527181675
83,182,persone_legna_anziani_intervento_19,"[17, 19, 27, 44, 75, 79, 81, 91]",157,legna_alloggi_ardere_casa_imis,169,persone_intervento_anziani_19_lavori,1.1170939970139584
