,Voce della tassonomia,Frequenza,Codice,azione,Macroambito,codice_macro,descrizione_codice_macro,numero_codice_campo,descrizione_codice_campo,count
0,1,1,A01-0104,"Promozione strumenti ACS (Family Audit, Family in Trentino, Network nazionale, Distretto Famiglia, EuregioFamilyPass, Family in Italia)",Governance e azioni di rete,A,Governance e azioni di rete,1,Promozione e supporto certificazioni family,383
1,3,1,A01-0112,Adesione  ai marchi familiari,Governance e azioni di rete,A,Governance e azioni di rete,1,Promozione e supporto certificazioni family,407
2,18,1,A03-0316,Integrazione delle politiche (politiche famiglia/giovanili/sociali/sanitarie ecc),Governance e azioni di rete,A,Governance e azioni di rete,3,Progettazione e monitoraggio,117
3,54,1,D08-0812,"Incontri formativi e informativi: Educazione, Genitorialitа, Conciliazione, Vita di coppia",Comunitа educante,D,Comunitа educante,8,Formazione,781
4,90,1,D13-1348,Consegna spesa a domicilio/ Banco alimentare,Comunitа educante,D,Comunitа educante,13,Disabilitа e fragilitа sociale,311
5,113,1,E19-1908,Servizi doposcuola e servizi estivi,Welfare territoriale e sostenibilitа,E,Welfare territoriale e sostenibilitа,19,Ambiente e infrastrutture,989
6,196,1,D09-0932,Attivitа/progetti formativi specifici per bambini e ragazzi,Comunitа educante,D,Comunitа educante,9,Progetti per protagonismo dei giovani,644
7,9,2,A02-0208,Interventi per rafforzare la rete,Governance e azioni di rete,A,Governance e azioni di rete,2,Azioni di rete e sussidiarietа,314
8,16,2,A03-0308,"Incontri di progettazione e programmazione, gruppo di lavoro",Governance e azioni di rete,A,Governance e azioni di rete,3,Progettazione e monitoraggio,268
9,46,2,C06-0604,Strumenti di comunicazione,Informazione e comunicazione,C,Informazione e comunicazione,6,Comunicazione,810
10,51,2,C07-0704,Sportelli informativi e di orientamento,Informazione e comunicazione,C,Informazione e comunicazione,7,Ascolto,271
11,68,2,D10-1016,"Proposte culturali: museo, cinema, teatro, arte ecc.",Comunitа educante,D,Comunitа educante,10,Eventi e attivitа per le famiglie,978
12,30,3,B04-0440,"Promozione della natalitа (Bonus bebи, kit nuovi nati ecc.)",Misure economiche,B,Misure economiche,4,Agevolazioni e contributi,695
13,121,5,E19-1940,Ambulatori e servizi sanitari,Welfare territoriale e sostenibilitа,E,Welfare territoriale e sostenibilitа,19,Ambiente e infrastrutture,229
