,ID_tassonomia_1,ID_tassonomia_2,Frequenza,titoli_1_list,titoli_2_list
426,68,196,56,"['laboratori per la scuola secondaria', 'compartecipazione ai progetti sovra comunali', 'laboratori e spettacolo per bambini', 'visite e laboratori in biblioteca per bambini della scuola primaria', 'vietato ai maggiori', 'spettacoli e animazione per bambini', 'laboratori didattici ecomuseo', 'laboratorio artistico', 'laboratori teatrali per bambini', 'coccole di carta regalo di un libro ai bambini nati nel', 'la biblioteca al servizio della scuola', 'spettacoli letture laboratori nel periodo turistico', 'attivit proposte alla scuola secondaria di primo grado iniziative a cura della biblioteca', 'giornata della memoria', 'attivit culturali per bambini e ragazzi', 'spettacoli animazione bamini', 'attivit per famiglie in collaborazione con l ecomuseo del lagorai', 'laboratori creativi azioni', 'mag scuole', 'timbralibro', 'progetto pensi line', 'informazione e formazione per adulti nati per leggere', 'rassegna teatrale per bambini', 'timbralibro iniziative a cura della biblioteca', 'progetto sceglilibro', 'organizzazione di eventi culturali', 'rassegna vietato ai maggiori', 'attivit musicale per bambini anni incontri', 'progetto di promozione alla lettura sceglilibro per elementare e media', 'progetto iniziative rivolte alle scuole', 'musica e coccole', 'attivit culturali e ricreative per bambini anni', 'visite e laboratori in biblioteca scuola primaria', 'iniziative a favore delle famiglie e dei pi piccoli', 'sceglilibro edizione', 'studio dei toponimi', 'spettacoli animazione per bambini', 'laboratori e spettacoli per bambini', 'laboratorio musicale', 'collaborazione con la scuola', 'spettacoli letture e laboratori nel periodo turistico', 'famiglie a teatro']","['letture al nido iniziative a cura della biblioteca', 'vietato ai maggiori', 'spettacoli e animazione per bambini', 'laboratorio artistico', 'laboratori teatrali per bambini', 'la biblioteca al servizio della scuola', 'laboratori creativi', 'progetto di promozione della lettura sceglilibro per la elementare e media', 'laboratori e spettacoli per bambini anni', 'giornata della memoria', 'famiglie e natura', 'attivit culturali e ricreative per bambini dai ai anni', 'attivit per famiglie in collaborazione con l ecomuseo del lagorai', 'laboratori didattici', 'mag scuole', 'visite e laboratori in biblioteca per la scuola primaria', 'timbralibro', 'progetto pensi line', 'compartecipazione ai progetti di rilevanza sociale sovra comunali', 'rassegna teatrale per bambini', 'promozione e organizzazione eventi culturali', 'attivit proposte alla scuola primaria iniziative a cura della biblioteca', 'progetto sceglilibro', 'progetto iniziative rivolte alle scuole', 'musica e coccole', 'attivit e progetti per ragazzi e bambini', 'laboratori e spettacoli per bambini e ragazzi', 'iniziative a favore delle famiglie e dei pi piccoli', 'sceglilibro edizione', 'studio dei toponimi', 'laboratorio musicale', 'letture e laboratori per la scuola secondaria', 'attivit musicale per bambini anni angolo morbido', 'collaborazione con la scuola', 'informazione e formazione per le scuole letture per l asilo nido', 'coccole di carta regalo di un libro ai bambini nati nell anno', 'spettacoli letture e laboratori nel periodo turistico']"
181,29,68,43,"['acquisto pianoforte per corsi musicali sul territorio comunale', 'collaborazione con le realt musicali operative sul territorio', 'messa a disposizione sala per gruppo anziani', 'spazi per l universit della terza et', 'spazio per manifestazioni e spettacoli culturali e informativi', 'compartecipazione ai progetti sovra comunali gestiti dalla commissione culturale intercomunale della valle dei laghi', 'contributo scuola musicale jan novk', 'patrocini', 'universita della terza eta utetd', 'sostegno all universit della terza et', 'corsi di musica con scuola jan novak banda di folgaria', 'universit della terza et', 'corsi di danza', 'universita della terza eta e del tempo disponibile', 'circolo ricreativo e piccola biblioteca per anziani', 'sostegno economico banda musicale f e g fontana di pomarolo', 'gestione della sala cinema e del teatro comunale', 'servizi universit della terza et e del tempo disponibile', 'comunit educante', 'universit della terza et e del tempo disponibile', 'corsi musicali con cdm centro didattico musicateatrodanza', 'sostegno attivit dell universita della terza eta e del tempo disponibile']","['corsi di danza', 'compartecipazione ai progetti sovra comunali gestiti dalla commissione culturale', 'universita della terza eta e del tempo disponibile', 'comunit educante', 'circolo ricreativo e piccola biblioteca per anziani', 'collaborazione con le realt musicali operative sul territorio', 'universit della terza et utetd', 'corsi musicali con la banda di folgaria', 'messa a disposizione sala per gruppo anziani', 'scuola musicale jan novak', 'sostegno economico alla banda f e g fontana', 'corsi musicali con il centro didattico musicateatrodanza', 'acquisto pianoforte per corsi musicali', 'universit della terza et', 'spazio per manifestazioni e spettacoli culturali e informativi', 'universit della terza et e del tempo disponibile', 'patrocini', 'convezione per la gestione del cinema e teatro comunale']"
554,113,64,40,"['progetto doposcuola saltiamo i compiti', 'f', 'servizi alle famiglie con figli da a anni progetto di colonia estiva diurna per adolescenti', 'progetto saltiamo i compiti', 'centri estivi', 'servizi asilo estivo', 'servizio di animazione estivo', 'sostegno alla scuola materna equiparata', 'welfare territoriale e servizi alle famiglie', 'colonia estiva per adolescenti', 'servizi alle famiglie con figli da a anni scuola materna estiva', 'servizi alle famiglie con figli da a anni progetto ensema se muda', 'progetto l albero dell amicizia', 'servizi alle famiglie con figli da a anni progetto ensema amo piu bel', 'supporto al grest', 'servizi per i giovani', 'servizi alle famiglie con figli da a anni colonia estiva diurna', 'scuola elementare e scuola media attivit straordinarie', 'colonia estiva', 'scuola materna equiparata', 'servizi alle famiglie con figli anni colonia estiva per adolescenti', 'servizi alle famiglie con figli da a anni scuola elementare e scuola media attivit straordinarie', 'asilo estivo', 'colonia estiva la bussola', 'supporto alla scuola elementare', 'animazione estiva', 'servizi alle famiglie con figli anni progetto ensema am pi bel', 'spazio di aggregazione scuole medie', 'servizi alle famiglie con figli da a anni colonia estiva estate ragazzi', 'servizio di animazione']","['progetto doposcuola saltiamo i compiti', 'f', 'servizi alle famiglie con figli da a anni progetto di colonia estiva diurna per adolescenti', 'centri estivi', 'sostegno alla scuola materna equiparata', 'welfare territoriale e servizi alle famiglie', 'servizi alle famiglie con figli anni scuola elementare attivit straordinarie', 'progetto l albero dell amicizia', 'supporto al grest', 'scuola elementare e scuola media attivit straordinarie', 'progetto di colonia estiva diurna per adolescenti', 'servizi alle famiglie con figli da anni in su escape room', 'servizi per giovani', 'asilo estivo', 'colonia estiva la bussola', 'supporto alla scuola elementare', 'animazione estiva', 'spazio di aggregazione scuole medie', 'colonia asilo estivo', 'servizio di animazione']"
127,26,28,40,"['contributo per la partecipazione alle colonie estive organizzate sul territorio bassa valsugana', 'contributo economico per la scuola per l infanzia', 'contributo per la partecipazione alle colonie estive organizzate sul territorio della bassa valsugana', 'contributi economici e tariffe agevolate tagesmutter', 'attivit estiva sul territorio', 'tariffe asilo nido', 'compartecipazione spese per realizzazione progetto estate in altopiano', 'abbattimento quota iscrizione attivit estive sul territorio comunale', 'premi studenti meritevoli', 'abbattimento quote di partecipazione', 'attivita estiva sul territorio', 'area servizi alla persona e alla famiglia centri estivi', 'contributo per abbattere la quota discrizione alle attivit estive dei figli', 'contributo per abbattere la quota d iscrizione alle attivita estive dei figli proposte sul territorio comunale', 'agevolazioni tariffarie servizi prima infanzia', 'attivit estiva sul territorio di croviana', 'contributo economico per la scuola per l infanzia di bieno', 'summer camp', 'tariffe agevolate per i servizi estivi', 'attivit organizzate per bambini e ragazzi', 'prossima attivazione del servizio bus navetta gratuito', 'tariffe agevolate', 'compartecipazione spesa studio musicale', 'servizi estivi per bambini', 'contributo per la scuola dell infanzia']","['contributo economico per la scuola per l infanzia', 'contributo per la partecipazione alle colonie estive organizzate sul territorio della bassa valsugana', 'attivita estive sul territorio', 'tariffe asilo nido', 'compartecipazione spese per realizzazione progetto estate in altopiano', 'abbattimento quota iscrizione attivit estive sul territorio comunale', 'contributi economici e tariffe agevolate studio musicale', 'contributo economico per la scuola dell infanzia', 'premi studenti meritevoli', 'contributo per abbattere la quota discrizione alle attivit sportive dei figli', 'contributo per abbattere la quota discrizione alle attivit estive dei figli', 'agevolazioni tariffarie servizi prima infanzia', 'area servizi alla persona e alla famiglia contributi estivi', 'tariffe agevolate al cinema', 'summer camp', 'attivazione del servizio di bus navetta gratuito', 'attivit organizzate per bambini e ragazzi', 'tariffe agevolate per attivit invernali', 'contributo per abbattere la quota d iscrizione alle attivita sportive dei figli proposte sul territorio comunale', 'servizi estivi per bambini', 'compartecipazione spesa studio musicale', 'abbattimento quota partecipazione']"
549,113,26,39,"['spazio aiuto compiti', 'servizio di trasporto integrativo', 'colonie estive', 'colonia estiva diurna gioca bimbo', 'iniziative della scuola elementare', 'centro anch io', 'spazio aiuto ai compiti', 'colonia estiva diurna', 'servizio colonia estiva diurna', 'centro estivo a grumes', 'servizio estate in gioco', 'servizio di trasporto scolastico integrativo', 'progetti di integrazione e sostengo ai tempi familiari servizio mensa', 'estate in gioco', 'colonia estiva', 'servizi colonia estiva la bussola', 'attivit estive', 'attivit extrascolastiche', 'asilo estivo', 'servizio di colonia estiva', 'scuola materna e scuola primaria', 'estate ragazzi']","['servizio di trasporto integrativo', 'centro estivo grumes', 'asilo estivo', 'servizio di aiuto compiti', 'progetti di integrazione e sostegno ai tempi familiari progetto liberamente polo ovest', 'servizio di asilo nido e colonia estiva', 'colonia estiva', 'colonie estive', 'scuola materna e scuola primaria', 'servizi colonia estiva la bussola', 'attivit estive', 'contributi ad iniziative della scuola elementare', 'servizio estate in gioco', 'c entro anch io', 'attivit extrascolastiche', 'contributo per servizio colonia estiva diurna', 'progetto estate ragazzi', 'colonia estiva diurna']"
179,29,64,31,"['spazi per l aggregazione giovanile', 'spazi per le associazioni', 'centri estivi', 'sala ludica', 'spazi per aggregazione giovanile', 'sala di musica', 'sale per l aggregazione di giovani e famiglie', 'spazi e strutture per le associazioni', 'diversamente abili', 'spazi e strutture alle associazioni', 'concessione di spazi del comune per aggregazione giovanile', 'scuola materna equparata', 'scuole materne equiparate', 'centri di aggregazione', 'sale per i giovani', 'associazione noi tesino messa a disposizione di spazi', 'sale pubbliche per il gruppo giovani', 'spazi ad associazioni', 'sale e strutture comunali', 'spazi di socializzazione per bambini giovani e famiglie', 'concessione di sale e strutture comunali', 'spazi comunali']","['spazi e strutture per le associazioni', 'sale per momenti di aggregazione', 'centri di aggregazione', 'spazi per le associazioni', 'spazi del comune per l aggregazione giovanile', 'sala musica', 'centri estivi', 'diversamente abili', 'associazione pro loco messa a disposizione di spazi', 'sale e strutture comunali', 'spazi di socializzazione per bambini giovani e famiglie', 'sala ludica', 'sale per i giovani', 'sale e spazi comunali', 'sale per il gruppo giovani', 'concessione sale e spazi comunali', 'scuole materne equiparate']"
370,64,113,31,"['scuole primarie e secondarie di primo grado funzioni comunali', 'campeggi per bambini e adolescenti', 'servizi di conciliazione centro aperto gandalf', 'centro di aggregazione giovanile', 'centri aperti estate', 'servizi estivi', 'centro aperto conciliazione tempi lavoro famiglia territorio', 'progetto vivi l estate', 'centro di aggregazione per ragazzi', 'centri aperti estivi', 'acquisto strumenti musicali per la scuola dell infanzia e asilo nido e per i corsi di musica', 'acquisto strumenti musicali per la scuola dell infanzia e per i corsi di musica in biblioteca', 'interventi a sostegno della conciliazione dei tempi iniziative per ragazzi', 'centro di aggregazione giovanile bassa val di sole', 'colonia estiva', 'scuole primarie e secondarie di primo grado', 'progetti territoriali di supporto ai compiti aggregazione e socializzazione', 'centro di aggregazione giovanile in valle di rabbi', 'centro di aggregazione giovanile convenzione', 'scuola materna', 'spazio compiti', 'la bussola colonia estiva', 'colonia invernale']","['acquisto strumenti musicali per la scuola dell infanzia e asilo nido e per i corsi di musica', 'colonia estiva la bussola', 'centri diurni estivi conciliazione tempi lavoro famiglia territorio', 'centro di aggregazione giovanile', 'scuola materna estiva', 'colonia estiva', 'progetti territoriali di supporto ai compiti aggregazione e socializzazione', 'centri aperti estate', 'interventi a sostegno della conciliazione dei tempi progetto girotondo', 'servizi estivi', 'scuole primarie e secondarie di primo grado funzioni comunali', 'campeggi per bambini e adolescenti', 'spazio compiti', 'progetto vivi l estate', 'colonia invernale', 'servizi di conciliazione centro aperto gandalf']"
517,108,109,30,"['spazio conciliazione e baby sitting', 'attivita dedicate alla famiglia e alla prima infanzia', 'servizi per la prima infanzia', 'servizi alle famiglie con bambini anni', 'servizi alle famiglie con bambini anni nido sovracomunale', 'asili nido', 'servizi a sostegno della natalita nidi', 'servizi alla prima infanzia', 'servizi alle famiglie con bambini da a anni nido sovracomunale', 'attivit dedicate alla famiglia e alla prima infanzia', 'attivit dedicata alla famiglia e alla prima infanzia servizio di asilo nido', 'servizi alle famiglie con bambini da o a anni nido sovracomunale', 'istituzione dell albo delle babysitter', 'asilo nido', 'asilo nido sovracomunale', 'servizi alle famiglie con bambini da a anni', 'servizi a sostengo della natalita nidi', 'servizio nido familiare tagesmutter', 'servizio all infanzia', 'servizio educativo di continuit khlummane lustege tritt', 'sostegno dello spazio di conciliazione e baby sitting nido yo yo']","['asili nido', 'servizio all infanzia tagesmutter', 'servizi a sostegno della natalita tagesmutter', 'servizio nido famigliare tagesmutter', 'attivit dedicata alla famiglia e alla prima infanzia tagesmutter', 'istituzione dellalbo delle babysitter', 'asilo nido sovraccomunale', 'spazio di conciliazione e baby sitting', 'servizio educativo di continuit khlummane lustege tritt', 'servizi alla prima infanzia', 'servizi alle famiglie con bambini da a anni tagesmutter']"
146,28,26,27,"['tariffe agevolate per asilo nido', 'e agevolazione per i servizi', 'fondo per l offerta formativa e bisogni speciali', 'convenzione con asili nido', 'tariffe', 'agevolazioni per servizi', 'mini altopiano', 'animazione estiva', 'tariffe attivit estive', 'convenzione con il villaggino', 'contributo scuola', 'altropiano giovani', 'contributo scuola materna', 'politiche tariffarie e interventi economici a sostegno delle famiglie', 'attivita estiva per bambini e ragazzi', 'supporto alle attivit educative', 'tariffe nido', 'contributi alle famiglie']","['tariffe agevolate per asilo nido', 'fondo per l offerta formativa e bisogni speciali', 'convenzione con asili nido', 'tariffe', 'mini altopiano', 'attivit estive per bambini e ragazzi', 'animazione estiva', 'supporto alle attivit educative scuole dell infanzia', 'tariffe attivit estive', 'e agevolazione per servizi di conciliazione', 'contributo scuola', 'contributo scuola materna', 'politiche tariffarie e interventi economici a sostegno delle famiglie', 'tariffe nido', 'contributi alle famiglie', 'convenzione con villaggino', 'agevolazioni per i servizi']"
312,57,131,27,"['manutenzione e cura parchi gioco', 'zona', 'viabilit e sentieri', 'installazione di nuovi dossi artificiali', 'installazione dossi artificiali', 'chiusura strada al traffico veicolare', 'pianificazione urbanistica']","['chiusura al traffico veicolare', 'zona', 'viabilit e sentieri', 'manutenzione parchi gioco', 'installazione dossi artificiali', 'pianificazione urbanistica']"
