,ID_tassonomia_1,ID_tassonomia_2,Frequenza,titoli_1_list,titoli_2_list
426,68,196,56,"['vietato ai maggiori', 'mag scuole', 'spettacoli letture e laboratori nel periodo turistico', 'attivit musicale per bambini anni incontri', 'laboratori didattici ecomuseo', 'visite e laboratori in biblioteca per bambini della scuola primaria', 'spettacoli animazione per bambini', 'coccole di carta regalo di un libro ai bambini nati nel', 'iniziative a favore delle famiglie e dei pi piccoli', 'attivit proposte alla scuola secondaria di primo grado iniziative a cura della biblioteca', 'laboratori e spettacoli per bambini', 'progetto sceglilibro', 'laboratori teatrali per bambini', 'rassegna teatrale per bambini', 'progetto di promozione alla lettura sceglilibro per elementare e media', 'organizzazione di eventi culturali', 'progetto pensi line', 'timbralibro iniziative a cura della biblioteca', 'spettacoli letture laboratori nel periodo turistico', 'sceglilibro edizione', 'laboratori per la scuola secondaria', 'attivit per famiglie in collaborazione con l ecomuseo del lagorai', 'attivit culturali e ricreative per bambini anni', 'visite e laboratori in biblioteca scuola primaria', 'rassegna vietato ai maggiori', 'laboratorio artistico', 'famiglie a teatro', 'spettacoli animazione bamini', 'informazione e formazione per adulti nati per leggere', 'progetto iniziative rivolte alle scuole', 'laboratori e spettacolo per bambini', 'timbralibro', 'spettacoli e animazione per bambini', 'laboratorio musicale', 'la biblioteca al servizio della scuola', 'collaborazione con la scuola', 'studio dei toponimi', 'musica e coccole', 'giornata della memoria', 'compartecipazione ai progetti sovra comunali', 'attivit culturali per bambini e ragazzi', 'laboratori creativi azioni']","['vietato ai maggiori', 'mag scuole', 'spettacoli letture e laboratori nel periodo turistico', 'laboratori didattici', 'attivit proposte alla scuola primaria iniziative a cura della biblioteca', 'iniziative a favore delle famiglie e dei pi piccoli', 'progetto sceglilibro', 'attivit e progetti per ragazzi e bambini', 'letture al nido iniziative a cura della biblioteca', 'laboratori teatrali per bambini', 'rassegna teatrale per bambini', 'progetto di promozione della lettura sceglilibro per la elementare e media', 'progetto pensi line', 'coccole di carta regalo di un libro ai bambini nati nell anno', 'sceglilibro edizione', 'visite e laboratori in biblioteca per la scuola primaria', 'attivit musicale per bambini anni angolo morbido', 'laboratori creativi', 'attivit per famiglie in collaborazione con l ecomuseo del lagorai', 'letture e laboratori per la scuola secondaria', 'laboratorio artistico', 'attivit culturali e ricreative per bambini dai ai anni', 'progetto iniziative rivolte alle scuole', 'timbralibro', 'spettacoli e animazione per bambini', 'laboratorio musicale', 'laboratori e spettacoli per bambini anni', 'la biblioteca al servizio della scuola', 'collaborazione con la scuola', 'famiglie e natura', 'laboratori e spettacoli per bambini e ragazzi', 'compartecipazione ai progetti di rilevanza sociale sovra comunali', 'studio dei toponimi', 'informazione e formazione per le scuole letture per l asilo nido', 'musica e coccole', 'promozione e organizzazione eventi culturali', 'giornata della memoria']"
181,29,68,43,"['compartecipazione ai progetti sovra comunali gestiti dalla commissione culturale intercomunale della valle dei laghi', 'spazio per manifestazioni e spettacoli culturali e informativi', 'sostegno economico banda musicale f e g fontana di pomarolo', 'universit della terza et', 'comunit educante', 'spazi per l universit della terza et', 'acquisto pianoforte per corsi musicali sul territorio comunale', 'contributo scuola musicale jan novk', 'messa a disposizione sala per gruppo anziani', 'universita della terza eta e del tempo disponibile', 'universit della terza et e del tempo disponibile', 'gestione della sala cinema e del teatro comunale', 'servizi universit della terza et e del tempo disponibile', 'corsi musicali con cdm centro didattico musicateatrodanza', 'corsi di musica con scuola jan novak banda di folgaria', 'patrocini', 'corsi di danza', 'sostegno all universit della terza et', 'circolo ricreativo e piccola biblioteca per anziani', 'collaborazione con le realt musicali operative sul territorio', 'sostegno attivit dell universita della terza eta e del tempo disponibile', 'universita della terza eta utetd']","['messa a disposizione sala per gruppo anziani', 'scuola musicale jan novak', 'corsi musicali con il centro didattico musicateatrodanza', 'patrocini', 'acquisto pianoforte per corsi musicali', 'universita della terza eta e del tempo disponibile', 'universit della terza et e del tempo disponibile', 'compartecipazione ai progetti sovra comunali gestiti dalla commissione culturale', 'universit della terza et', 'convezione per la gestione del cinema e teatro comunale', 'spazio per manifestazioni e spettacoli culturali e informativi', 'corsi musicali con la banda di folgaria', 'universit della terza et utetd', 'corsi di danza', 'collaborazione con le realt musicali operative sul territorio', 'circolo ricreativo e piccola biblioteca per anziani', 'comunit educante', 'sostegno economico alla banda f e g fontana']"
554,113,64,40,"['servizi asilo estivo', 'welfare territoriale e servizi alle famiglie', 'progetto saltiamo i compiti', 'servizi alle famiglie con figli da a anni scuola elementare e scuola media attivit straordinarie', 'colonia estiva la bussola', 'servizio di animazione estivo', 'progetto doposcuola saltiamo i compiti', 'scuola elementare e scuola media attivit straordinarie', 'servizi alle famiglie con figli anni colonia estiva per adolescenti', 'servizi alle famiglie con figli da a anni colonia estiva estate ragazzi', 'spazio di aggregazione scuole medie', 'servizi alle famiglie con figli da a anni colonia estiva diurna', 'supporto alla scuola elementare', 'colonia estiva', 'supporto al grest', 'f', 'servizi alle famiglie con figli da a anni progetto ensema se muda', 'servizi per i giovani', 'sostegno alla scuola materna equiparata', 'servizio di animazione', 'servizi alle famiglie con figli da a anni progetto di colonia estiva diurna per adolescenti', 'servizi alle famiglie con figli da a anni scuola materna estiva', 'scuola materna equiparata', 'asilo estivo', 'progetto l albero dell amicizia', 'servizi alle famiglie con figli da a anni progetto ensema amo piu bel', 'colonia estiva per adolescenti', 'centri estivi', 'servizi alle famiglie con figli anni progetto ensema am pi bel', 'animazione estiva']","['welfare territoriale e servizi alle famiglie', 'colonia estiva la bussola', 'progetto di colonia estiva diurna per adolescenti', 'progetto doposcuola saltiamo i compiti', 'scuola elementare e scuola media attivit straordinarie', 'spazio di aggregazione scuole medie', 'supporto alla scuola elementare', 'servizi alle famiglie con figli anni scuola elementare attivit straordinarie', 'supporto al grest', 'f', 'colonia asilo estivo', 'sostegno alla scuola materna equiparata', 'servizio di animazione', 'servizi alle famiglie con figli da a anni progetto di colonia estiva diurna per adolescenti', 'asilo estivo', 'progetto l albero dell amicizia', 'servizi alle famiglie con figli da anni in su escape room', 'servizi per giovani', 'centri estivi', 'animazione estiva']"
127,26,28,40,"['attivit organizzate per bambini e ragazzi', 'attivit estiva sul territorio', 'compartecipazione spesa studio musicale', 'compartecipazione spese per realizzazione progetto estate in altopiano', 'contributo per la partecipazione alle colonie estive organizzate sul territorio bassa valsugana', 'prossima attivazione del servizio bus navetta gratuito', 'premi studenti meritevoli', 'contributo per la partecipazione alle colonie estive organizzate sul territorio della bassa valsugana', 'contributo per la scuola dell infanzia', 'area servizi alla persona e alla famiglia centri estivi', 'servizi estivi per bambini', 'contributo economico per la scuola per l infanzia di bieno', 'contributo per abbattere la quota d iscrizione alle attivita estive dei figli proposte sul territorio comunale', 'tariffe asilo nido', 'contributo economico per la scuola per l infanzia', 'tariffe agevolate', 'attivit estiva sul territorio di croviana', 'summer camp', 'attivita estiva sul territorio', 'abbattimento quota iscrizione attivit estive sul territorio comunale', 'tariffe agevolate per i servizi estivi', 'agevolazioni tariffarie servizi prima infanzia', 'abbattimento quote di partecipazione', 'contributi economici e tariffe agevolate tagesmutter', 'contributo per abbattere la quota discrizione alle attivit estive dei figli']","['attivit organizzate per bambini e ragazzi', 'compartecipazione spesa studio musicale', 'contributo per abbattere la quota d iscrizione alle attivita sportive dei figli proposte sul territorio comunale', 'area servizi alla persona e alla famiglia contributi estivi', 'compartecipazione spese per realizzazione progetto estate in altopiano', 'premi studenti meritevoli', 'contributo per la partecipazione alle colonie estive organizzate sul territorio della bassa valsugana', 'servizi estivi per bambini', 'contributi economici e tariffe agevolate studio musicale', 'tariffe asilo nido', 'contributo economico per la scuola per l infanzia', 'abbattimento quota partecipazione', 'attivazione del servizio di bus navetta gratuito', 'summer camp', 'tariffe agevolate al cinema', 'abbattimento quota iscrizione attivit estive sul territorio comunale', 'contributo per abbattere la quota discrizione alle attivit sportive dei figli', 'agevolazioni tariffarie servizi prima infanzia', 'tariffe agevolate per attivit invernali', 'contributo per abbattere la quota discrizione alle attivit estive dei figli', 'contributo economico per la scuola dell infanzia', 'attivita estive sul territorio']"
549,113,26,39,"['centro anch io', 'colonia estiva diurna gioca bimbo', 'spazio aiuto ai compiti', 'servizio di trasporto integrativo', 'estate in gioco', 'iniziative della scuola elementare', 'attivit extrascolastiche', 'servizio estate in gioco', 'colonie estive', 'servizio colonia estiva diurna', 'colonia estiva', 'attivit estive', 'servizio di colonia estiva', 'spazio aiuto compiti', 'servizi colonia estiva la bussola', 'servizio di trasporto scolastico integrativo', 'asilo estivo', 'estate ragazzi', 'centro estivo a grumes', 'colonia estiva diurna', 'scuola materna e scuola primaria', 'progetti di integrazione e sostengo ai tempi familiari servizio mensa']","['asilo estivo', 'colonia estiva', 'contributo per servizio colonia estiva diurna', 'c entro anch io', 'attivit estive', 'centro estivo grumes', 'attivit extrascolastiche', 'servizio estate in gioco', 'servizio di asilo nido e colonia estiva', 'contributi ad iniziative della scuola elementare', 'progetti di integrazione e sostegno ai tempi familiari progetto liberamente polo ovest', 'servizio di trasporto integrativo', 'progetto estate ragazzi', 'colonia estiva diurna', 'colonie estive', 'scuola materna e scuola primaria', 'servizi colonia estiva la bussola', 'servizio di aiuto compiti']"
179,29,64,31,"['sale pubbliche per il gruppo giovani', 'centri di aggregazione', 'sale per l aggregazione di giovani e famiglie', 'spazi di socializzazione per bambini giovani e famiglie', 'scuola materna equparata', 'spazi per le associazioni', 'sale e strutture comunali', 'spazi e strutture alle associazioni', 'spazi per aggregazione giovanile', 'diversamente abili', 'spazi ad associazioni', 'sale per i giovani', 'concessione di sale e strutture comunali', 'associazione noi tesino messa a disposizione di spazi', 'spazi per l aggregazione giovanile', 'spazi comunali', 'sala di musica', 'sala ludica', 'scuole materne equiparate', 'centri estivi', 'concessione di spazi del comune per aggregazione giovanile', 'spazi e strutture per le associazioni']","['spazi del comune per l aggregazione giovanile', 'sale per il gruppo giovani', 'sale e spazi comunali', 'sale per i giovani', 'sale per momenti di aggregazione', 'sala ludica', 'concessione sale e spazi comunali', 'diversamente abili', 'scuole materne equiparate', 'centri di aggregazione', 'associazione pro loco messa a disposizione di spazi', 'centri estivi', 'spazi di socializzazione per bambini giovani e famiglie', 'spazi e strutture per le associazioni', 'sala musica', 'spazi per le associazioni', 'sale e strutture comunali']"
370,64,113,31,"['centri aperti estate', 'colonia invernale', 'scuole primarie e secondarie di primo grado', 'centro di aggregazione per ragazzi', 'spazio compiti', 'progetti territoriali di supporto ai compiti aggregazione e socializzazione', 'centro di aggregazione giovanile bassa val di sole', 'campeggi per bambini e adolescenti', 'acquisto strumenti musicali per la scuola dell infanzia e per i corsi di musica in biblioteca', 'scuola materna', 'scuole primarie e secondarie di primo grado funzioni comunali', 'colonia estiva', 'servizi estivi', 'centro di aggregazione giovanile in valle di rabbi', 'centro aperto conciliazione tempi lavoro famiglia territorio', 'la bussola colonia estiva', 'centri aperti estivi', 'centro di aggregazione giovanile convenzione', 'progetto vivi l estate', 'interventi a sostegno della conciliazione dei tempi iniziative per ragazzi', 'acquisto strumenti musicali per la scuola dell infanzia e asilo nido e per i corsi di musica', 'servizi di conciliazione centro aperto gandalf', 'centro di aggregazione giovanile']","['centri aperti estate', 'colonia invernale', 'colonia estiva', 'servizi estivi', 'acquisto strumenti musicali per la scuola dell infanzia e asilo nido e per i corsi di musica', 'spazio compiti', 'scuola materna estiva', 'progetti territoriali di supporto ai compiti aggregazione e socializzazione', 'progetto vivi l estate', 'campeggi per bambini e adolescenti', 'interventi a sostegno della conciliazione dei tempi progetto girotondo', 'centri diurni estivi conciliazione tempi lavoro famiglia territorio', 'scuole primarie e secondarie di primo grado funzioni comunali', 'colonia estiva la bussola', 'servizi di conciliazione centro aperto gandalf', 'centro di aggregazione giovanile']"
517,108,109,30,"['servizi per la prima infanzia', 'servizio educativo di continuit khlummane lustege tritt', 'servizi alla prima infanzia', 'sostegno dello spazio di conciliazione e baby sitting nido yo yo', 'servizio nido familiare tagesmutter', 'attivit dedicata alla famiglia e alla prima infanzia servizio di asilo nido', 'servizio all infanzia', 'attivita dedicate alla famiglia e alla prima infanzia', 'asili nido', 'servizi a sostegno della natalita nidi', 'asilo nido sovracomunale', 'servizi alle famiglie con bambini anni nido sovracomunale', 'servizi alle famiglie con bambini anni', 'istituzione dell albo delle babysitter', 'attivit dedicate alla famiglia e alla prima infanzia', 'asilo nido', 'servizi alle famiglie con bambini da a anni nido sovracomunale', 'servizi alle famiglie con bambini da o a anni nido sovracomunale', 'servizi alle famiglie con bambini da a anni', 'servizi a sostengo della natalita nidi', 'spazio conciliazione e baby sitting']","['istituzione dellalbo delle babysitter', 'servizio educativo di continuit khlummane lustege tritt', 'servizi alla prima infanzia', 'servizi alle famiglie con bambini da a anni tagesmutter', 'servizi a sostegno della natalita tagesmutter', 'asilo nido sovraccomunale', 'attivit dedicata alla famiglia e alla prima infanzia tagesmutter', 'servizio nido famigliare tagesmutter', 'spazio di conciliazione e baby sitting', 'servizio all infanzia tagesmutter', 'asili nido']"
146,28,26,27,"['contributo scuola materna', 'altropiano giovani', 'contributi alle famiglie', 'contributo scuola', 'mini altopiano', 'convenzione con asili nido', 'tariffe nido', 'tariffe attivit estive', 'tariffe', 'supporto alle attivit educative', 'attivita estiva per bambini e ragazzi', 'agevolazioni per servizi', 'fondo per l offerta formativa e bisogni speciali', 'convenzione con il villaggino', 'politiche tariffarie e interventi economici a sostegno delle famiglie', 'animazione estiva', 'e agevolazione per i servizi', 'tariffe agevolate per asilo nido']","['contributo scuola materna', 'contributi alle famiglie', 'contributo scuola', 'mini altopiano', 'convenzione con asili nido', 'tariffe nido', 'attivit estive per bambini e ragazzi', 'convenzione con villaggino', 'tariffe', 'agevolazioni per i servizi', 'tariffe attivit estive', 'fondo per l offerta formativa e bisogni speciali', 'politiche tariffarie e interventi economici a sostegno delle famiglie', 'supporto alle attivit educative scuole dell infanzia', 'animazione estiva', 'e agevolazione per servizi di conciliazione', 'tariffe agevolate per asilo nido']"
312,57,131,27,"['manutenzione e cura parchi gioco', 'installazione di nuovi dossi artificiali', 'chiusura strada al traffico veicolare', 'pianificazione urbanistica', 'viabilit e sentieri', 'zona', 'installazione dossi artificiali']","['manutenzione parchi gioco', 'pianificazione urbanistica', 'viabilit e sentieri', 'zona', 'chiusura al traffico veicolare', 'installazione dossi artificiali']"
