,ID_tassonomia,codice_macro,descrizione_codice_macro,numero_codice_campo,descrizione_codice_campo,Frequenza nell'organizzazione,Frequenza della combinazione nell'intero dataset,Numero di organizzazioni che ne hanno fatto uso nel dataset
0,11630713,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family,26,604,135
1,11630713,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family,26,5,2
2,11630769,C,Informazione e comunicazione,6.0,Comunicazione,20,4,2
3,11630769,C,Informazione e comunicazione,6.0,Comunicazione,20,2,2
4,11630769,C,Informazione e comunicazione,6.0,Comunicazione,20,1002,173
5,11630769,C,Informazione e comunicazione,6.0,Comunicazione,20,25,10
6,11630769,C,Informazione e comunicazione,6.0,Comunicazione,20,18,5
7,11630770,C,Informazione e comunicazione,6.0,Comunicazione,20,4,2
8,11630770,C,Informazione e comunicazione,6.0,Comunicazione,20,5,1
9,11630770,C,Informazione e comunicazione,6.0,Comunicazione,20,8,3
10,11630770,C,Informazione e comunicazione,6.0,Comunicazione,20,1558,236
11,11630770,C,Informazione e comunicazione,6.0,Comunicazione,20,33,7
12,11630770,C,Informazione e comunicazione,6.0,Comunicazione,20,31,7
13,11630770,C,Informazione e comunicazione,6.0,Comunicazione,20,32,7
14,11630770,C,Informazione e comunicazione,6.0,Comunicazione,20,12,3
15,11630770,C,Informazione e comunicazione,6.0,Comunicazione,20,36,7
16,11630788,D,Comunitа educante,7.0,Ascolto,18,17,4
17,11630788,D,Comunitа educante,7.0,Ascolto,18,6,2
18,11630788,D,Comunitа educante,7.0,Ascolto,18,4,2
19,11630788,D,Comunitа educante,7.0,Ascolto,18,5,1
20,11630788,D,Comunitа educante,7.0,Ascolto,18,226,45
21,11630788,D,Comunitа educante,7.0,Ascolto,18,844,133
22,11630784,D,Comunitа educante,7.0,Ascolto,16,25,5
23,11630784,D,Comunitа educante,7.0,Ascolto,16,164,38
24,11630787,D,Comunitа educante,8.0,Formazione,15,334,60
25,11630787,D,Comunitа educante,8.0,Formazione,15,4,1
26,11630787,D,Comunitа educante,8.0,Formazione,15,7,1
27,11630787,D,Comunitа educante,8.0,Formazione,15,373,82
28,11630715,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family,14,161,31
29,11630829,D,Comunitа educante,8.0,Formazione,10,40,7
30,11630829,D,Comunitа educante,8.0,Formazione,10,2,1
31,11630822,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie,10,7,2
32,11630822,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie,10,664,114
33,11630822,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie,10,12,4
34,11630794,D,Comunitа educante,8.0,Formazione,10,3,1
35,11630794,D,Comunitа educante,8.0,Formazione,10,5,2
36,11630794,D,Comunitа educante,8.0,Formazione,10,57,16
37,11630794,D,Comunitа educante,8.0,Formazione,10,670,111
38,11630790,D,Comunitа educante,8.0,Formazione,10,3,1
39,11630790,D,Comunitа educante,8.0,Formazione,10,4,1
40,11630790,D,Comunitа educante,8.0,Formazione,10,102,18
41,11630790,D,Comunitа educante,8.0,Formazione,10,2,1
42,11630772,B,Misure economiche,5.0,Benefit e scontistica,10,13,3
43,11630772,B,Misure economiche,5.0,Benefit e scontistica,10,2,1
44,11630772,B,Misure economiche,5.0,Benefit e scontistica,10,6,2
45,11630772,B,Misure economiche,5.0,Benefit e scontistica,10,54,9
46,11630772,B,Misure economiche,5.0,Benefit e scontistica,10,206,30
47,11630772,B,Misure economiche,5.0,Benefit e scontistica,10,235,42
48,11630772,B,Misure economiche,5.0,Benefit e scontistica,10,3,1
49,11630772,B,Misure economiche,5.0,Benefit e scontistica,10,27,5
50,11630775,B,Misure economiche,5.0,Benefit e scontistica,10,11,3
51,11630775,B,Misure economiche,5.0,Benefit e scontistica,10,9,3
52,11630775,B,Misure economiche,5.0,Benefit e scontistica,10,182,29
53,11630775,B,Misure economiche,5.0,Benefit e scontistica,10,28,8
54,11630775,B,Misure economiche,5.0,Benefit e scontistica,10,38,6
55,11630775,B,Misure economiche,5.0,Benefit e scontistica,10,11,2
56,11630775,B,Misure economiche,5.0,Benefit e scontistica,10,8,2
57,11630775,B,Misure economiche,5.0,Benefit e scontistica,10,158,53
58,11630762,B,Misure economiche,5.0,Benefit e scontistica,10,4,1
59,11630762,B,Misure economiche,5.0,Benefit e scontistica,10,30,9
60,11630762,B,Misure economiche,5.0,Benefit e scontistica,10,675,139
61,11630762,B,Misure economiche,5.0,Benefit e scontistica,10,76,16
62,11630762,B,Misure economiche,5.0,Benefit e scontistica,10,2,1
63,11630762,B,Misure economiche,5.0,Benefit e scontistica,10,226,43
64,11630751,B,Misure economiche,4.0,Agevolazioni e contributi,10,17,2
65,11630751,B,Misure economiche,4.0,Agevolazioni e contributi,10,7,1
66,11630751,B,Misure economiche,4.0,Agevolazioni e contributi,10,6,2
67,11630751,B,Misure economiche,4.0,Agevolazioni e contributi,10,7,1
68,11630751,B,Misure economiche,4.0,Agevolazioni e contributi,10,2,1
69,11630751,B,Misure economiche,4.0,Agevolazioni e contributi,10,12,5
70,11630751,B,Misure economiche,4.0,Agevolazioni e contributi,10,805,157
71,11630727,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,10,5,1
72,11630727,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,10,45,6
73,11630727,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,10,6,1
74,11630727,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,10,144,29
75,11630727,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,10,4,2
76,11630760,B,Misure economiche,5.0,Benefit e scontistica,10,38,7
77,11630760,B,Misure economiche,5.0,Benefit e scontistica,10,417,62
78,11630760,B,Misure economiche,5.0,Benefit e scontistica,10,24,4
79,11630760,B,Misure economiche,5.0,Benefit e scontistica,10,8,1
80,11630760,B,Misure economiche,5.0,Benefit e scontistica,10,75,15
81,11630760,B,Misure economiche,5.0,Benefit e scontistica,10,9,1
82,11630760,B,Misure economiche,5.0,Benefit e scontistica,10,14,3
