,ID_tassonomia,codice_macro,descrizione_codice_macro,numero_codice_campo,descrizione_codice_campo,Frequenza della combinazione nell'intero dataset,Numero di organizzazioni che ne hanno fatto uso nel dataset
508,11630707,C,Informazione e comunicazione,6.0,Comunicazione,1,1
501,11630712,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,1,1
487,11630761,D,Comunitа educante,8.0,Formazione,1,1
503,11630712,B,Misure economiche,5.0,Benefit e scontistica,1,1
500,11630826,D,Comunitа educante,8.0,Formazione,1,1
498,11630824,C,Informazione e comunicazione,6.0,Comunicazione,1,1
481,11630763,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,1,1
504,11630768,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani,1,1
483,11630764,D,Comunitа educante,8.0,Formazione,1,1
505,11630771,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani,1,1
491,11630816,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie,1,1
488,11630766,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio,1,1
489,11630815,D,Comunitа educante,8.0,Formazione,1,1
492,11630807,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,1,1
479,11630767,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,1,1
486,11630764,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie,1,1
502,11630782,D,Comunitа educante,8.0,Formazione,1,1
511,11630758,B,Misure economiche,4.0,Agevolazioni e contributi,1,1
484,11630803,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie,1,1
510,11630793,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio,1,1
485,44333592,C,Informazione e comunicazione,6.0,Comunicazione,1,1
482,44333557,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,1,1
493,44333555,B,Misure economiche,4.0,Agevolazioni e contributi,1,1
497,11630747,D,Comunitа educante,8.0,Formazione,1,1
509,11630747,B,Misure economiche,5.0,Benefit e scontistica,1,1
490,28345013,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio,1,1
499,11630747,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani,1,1
